CoverageA,CoverageACount,CoverageB,CoverageBCount,CoverageX,CoverageXCount,CoverageY,CoverageYCount,Effect size,Iteration,Sampling Rate,Test,Value,p
0.9,9.0,0.8,8.0,0.04,1.0,0.12,3.0,1.18324769786,8,0.01,Pleasantness/Flowers,0.105936798319,0.166254
1.0,5.0,0.8,4.0,0.857142857143,6.0,1.0,7.0,1.73587775092,8,0.01,Gender/Career,0.610568572395,4.7e-05
0.9,9.0,0.8,8.0,1.0,10.0,0.1,1.0,2.15844957192,8,0.01,Unpleasentness/Asian,0.321335594299,0.0
0.9,9.0,0.8,8.0,1.0,10.0,0.7,7.0,1.79867733347,8,0.01,Unpleasantness/Turkish,0.626567995409,0.0
0.9,9.0,0.8,8.0,0.833333333333,5.0,0.666666666667,4.0,1.35704790917,8,0.01,Unpleasantness/Islam,0.387436243292,0.007924
0.4,2.0,0.0,0.0,0.692307692308,9.0,0.230769230769,3.0,,8,0.01,Gender/Competence,,
1.0,8.0,1.0,8.0,0.666666666667,4.0,0.714285714286,5.0,-1.46899529388,8,0.01,Gender/Sciences,0.022833511699,0.175212
0.9,9.0,0.8,8.0,0.08,2.0,0.12,3.0,0.614106055259,9,0.01,Pleasantness/Flowers,0.124351026646,0.0
1.0,5.0,0.8,4.0,0.857142857143,6.0,1.0,7.0,1.50038534525,9,0.01,Gender/Career,0.610568572395,4.8e-05
0.9,9.0,0.8,8.0,1.0,10.0,0.1,1.0,0.840458222939,9,0.01,Unpleasentness/Asian,0.321335594299,0.0
0.9,9.0,0.8,8.0,1.0,10.0,0.7,7.0,1.58922834081,9,0.01,Unpleasantness/Turkish,0.626567995409,0.0
0.9,9.0,0.8,8.0,0.833333333333,5.0,0.666666666667,4.0,1.73201519817,9,0.01,Unpleasantness/Islam,0.387436243292,0.007962
0.4,2.0,0.0,0.0,0.692307692308,9.0,0.230769230769,3.0,,9,0.01,Gender/Competence,,
1.0,8.0,1.0,8.0,0.666666666667,4.0,0.714285714286,5.0,-1.10711660975,9,0.01,Gender/Sciences,0.022833511699,0.174698
1.0,10.0,1.0,10.0,0.16,4.0,0.44,11.0,0.465820722187,10,0.05,Pleasantness/Flowers,0.074397754514,0.303952
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,0.916591279452,10,0.05,Gender/Career,0.523455241881,0.003526
1.0,10.0,1.0,10.0,1.0,10.0,0.6,6.0,1.48554217467,10,0.05,Unpleasentness/Asian,0.460010599567,0.0
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.18150489907,10,0.05,Unpleasantness/Turkish,0.622296941793,0.00048
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.55081124562,10,0.05,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.769230769231,10.0,0.615384615385,8.0,-0.103714125154,10,0.05,Gender/Competence,-0.0169686660171,0.545655
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.28905782827,10,0.05,Gender/Sciences,0.024839527905,0.109683
1.0,10.0,1.0,10.0,0.16,4.0,0.4,10.0,1.44362654126,11,0.05,Pleasantness/Flowers,0.157317806625,0.164537
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,0.981029681459,11,0.05,Gender/Career,0.523455241881,0.003589
1.0,10.0,1.0,10.0,1.0,10.0,0.5,5.0,0.343126925642,11,0.05,Unpleasentness/Asian,0.406639385446,0.0
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.49963100891,11,0.05,Unpleasantness/Turkish,0.622296941793,0.000467
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.66407889797,11,0.05,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.4,2.0,0.769230769231,10.0,0.615384615385,8.0,-0.979013198788,11,0.05,Gender/Competence,-0.0169686660171,0.546963
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-0.713999146524,11,0.05,Gender/Sciences,0.024839527905,0.109768
1.0,10.0,1.0,10.0,0.12,3.0,0.4,10.0,1.18589242567,12,0.05,Pleasantness/Flowers,0.0610137312052,0.335959
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.21361366662,12,0.05,Gender/Career,0.523455241881,0.003403
1.0,10.0,1.0,10.0,1.0,10.0,0.7,7.0,0.691771571152,12,0.05,Unpleasentness/Asian,0.445944773815,0.000319
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.51937670946,12,0.05,Unpleasantness/Turkish,0.622296941793,0.000401
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.37061683369,12,0.05,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.769230769231,10.0,0.615384615385,8.0,-0.1600944053,12,0.05,Gender/Competence,-0.0169686660171,0.546131
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.30456552961,12,0.05,Gender/Sciences,0.024839527905,0.109918
1.0,10.0,1.0,10.0,0.2,5.0,0.36,9.0,1.48338278681,13,0.05,Pleasantness/Flowers,0.253271095299,0.075114
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,0.921912184341,13,0.05,Gender/Career,0.523455241881,0.003523
1.0,10.0,1.0,10.0,1.0,10.0,0.6,6.0,1.0627060172,13,0.05,Unpleasentness/Asian,0.460010599567,0.0
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.7896068517,13,0.05,Unpleasantness/Turkish,0.622296941793,0.000428
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.66032600511,13,0.05,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.769230769231,10.0,0.615384615385,8.0,-0.492577587765,13,0.05,Gender/Competence,-0.0169686660171,0.547044
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.385798211,13,0.05,Gender/Sciences,0.024839527905,0.109272
1.0,10.0,1.0,10.0,0.2,5.0,0.48,12.0,0.809065168728,14,0.05,Pleasantness/Flowers,0.133122050979,0.211944
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.21913832507,14,0.05,Gender/Career,0.523455241881,0.003379
1.0,10.0,1.0,10.0,1.0,10.0,0.6,6.0,1.02185109501,14,0.05,Unpleasentness/Asian,0.486921389065,0.0
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.76615804061,14,0.05,Unpleasantness/Turkish,0.622296941793,0.000443
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.63092018808,14,0.05,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.4,2.0,0.769230769231,10.0,0.538461538462,7.0,0.031546348556,14,0.05,Gender/Competence,0.0111819952726,0.453537
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-0.940690118145,14,0.05,Gender/Sciences,0.024839527905,0.109234
1.0,10.0,1.0,10.0,0.16,4.0,0.44,11.0,1.38576550392,15,0.05,Pleasantness/Flowers,0.0948910625962,0.265465
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,0.878467561512,15,0.05,Gender/Career,0.523455241881,0.003468
1.0,10.0,1.0,10.0,1.0,10.0,0.6,6.0,1.33432201806,15,0.05,Unpleasentness/Asian,0.460010599567,0.0
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.62463256707,15,0.05,Unpleasantness/Turkish,0.622296941793,0.000462
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.68834984878,15,0.05,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.769230769231,10.0,0.538461538462,7.0,-0.849396627759,15,0.05,Gender/Competence,0.0111819952726,0.453551
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.29349347124,15,0.05,Gender/Sciences,0.024839527905,0.109341
1.0,10.0,1.0,10.0,0.2,5.0,0.4,10.0,0.992162077212,16,0.05,Pleasantness/Flowers,0.190844351271,0.130018
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.27360229047,16,0.05,Gender/Career,0.523455241881,0.003464
1.0,10.0,1.0,10.0,1.0,10.0,0.7,7.0,1.47688378764,16,0.05,Unpleasentness/Asian,0.540292603186,0.0
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.6436660216,16,0.05,Unpleasantness/Turkish,0.622296941793,0.00042
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.75597879586,16,0.05,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.769230769231,10.0,0.615384615385,8.0,0.0871147438557,16,0.05,Gender/Competence,-0.0169686660171,0.546444
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.58156569511,16,0.05,Gender/Sciences,0.024839527905,0.109581
1.0,10.0,1.0,10.0,0.12,3.0,0.32,8.0,1.21780783585,17,0.05,Pleasantness/Flowers,0.0480850437966,0.347743
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.59138850669,17,0.05,Gender/Career,0.523455241881,0.003542
1.0,10.0,1.0,10.0,1.0,10.0,0.8,8.0,1.39401205991,17,0.05,Unpleasentness/Asian,0.499315987936,0.000525
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.68850436093,17,0.05,Unpleasantness/Turkish,0.622296941793,0.000449
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.71384242267,17,0.05,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.4,2.0,0.769230769231,10.0,0.538461538462,7.0,-0.999468723862,17,0.05,Gender/Competence,-0.0367074385285,0.57872
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.28330153716,17,0.05,Gender/Sciences,0.024839527905,0.109567
1.0,10.0,1.0,10.0,0.2,5.0,0.36,9.0,1.3395695107,18,0.05,Pleasantness/Flowers,0.0851994270769,0.29397
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.58144210989,18,0.05,Gender/Career,0.523455241881,0.003578
1.0,10.0,1.0,10.0,1.0,10.0,0.6,6.0,1.46087372226,18,0.05,Unpleasentness/Asian,0.460010599567,0.0
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.64793826824,18,0.05,Unpleasantness/Turkish,0.622296941793,0.000408
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.75126910232,18,0.05,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.769230769231,10.0,0.615384615385,8.0,-0.340783673943,18,0.05,Gender/Competence,-0.0169686660171,0.546684
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-0.28685785865,18,0.05,Gender/Sciences,0.024839527905,0.109909
1.0,10.0,1.0,10.0,0.12,3.0,0.36,9.0,0.642997759395,19,0.05,Pleasantness/Flowers,-0.0143417002323,0.536256
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.30152226924,19,0.05,Gender/Career,0.523455241881,0.003492
1.0,10.0,1.0,10.0,1.0,10.0,0.5,5.0,0.930493891697,19,0.05,Unpleasentness/Asian,0.406639385446,0.0
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.72324924472,19,0.05,Unpleasantness/Turkish,0.622296941793,0.000425
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.59103867855,19,0.05,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.769230769231,10.0,0.615384615385,8.0,0.155912202998,19,0.05,Gender/Competence,-0.0169686660171,0.546783
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,0.291239912675,19,0.05,Gender/Sciences,0.024839527905,0.109335
1.0,10.0,1.0,10.0,0.28,7.0,0.56,14.0,0.971236119097,20,0.1,Pleasantness/Flowers,0.136584928849,0.217601
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.04784605117,20,0.1,Gender/Career,0.523455241881,0.003507
1.0,10.0,1.0,10.0,1.0,10.0,0.8,8.0,1.15586765197,20,0.1,Unpleasentness/Asian,0.499315987936,0.000515
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.44054559013,20,0.1,Unpleasantness/Turkish,0.622296941793,0.00042
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.55739611927,20,0.1,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.923076923077,12.0,0.769230769231,10.0,-0.323650586534,20,0.1,Gender/Competence,-0.0984498078624,0.720889
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.3611303712,20,0.1,Gender/Sciences,0.024839527905,0.109813
1.0,10.0,1.0,10.0,0.36,9.0,0.56,14.0,1.05809157233,21,0.1,Pleasantness/Flowers,0.193190870651,0.138642
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.41521486208,21,0.1,Gender/Career,0.523455241881,0.003457
1.0,10.0,1.0,10.0,1.0,10.0,0.8,8.0,0.708794405786,21,0.1,Unpleasentness/Asian,0.499315987936,0.000563
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.7975245947,21,0.1,Unpleasantness/Turkish,0.622296941793,0.000434
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.43677167177,21,0.1,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.846153846154,11.0,0.769230769231,10.0,-0.246055201374,21,0.1,Gender/Competence,-0.0788696830471,0.656462
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.20539497708,21,0.1,Gender/Sciences,0.024839527905,0.109668
1.0,10.0,1.0,10.0,0.36,9.0,0.56,14.0,0.233008574499,22,0.1,Pleasantness/Flowers,0.173497973972,0.172273
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.2425818469,22,0.1,Gender/Career,0.523455241881,0.003442
1.0,10.0,1.0,10.0,1.0,10.0,0.8,8.0,0.991950725344,22,0.1,Unpleasentness/Asian,0.499315987936,0.000548
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.56748698526,22,0.1,Unpleasantness/Turkish,0.622296941793,0.000431
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.5547967612,22,0.1,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.923076923077,12.0,0.769230769231,10.0,-0.730006742067,22,0.1,Gender/Competence,-0.0984498078624,0.721738
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.48390976782,22,0.1,Gender/Sciences,0.024839527905,0.109479
1.0,10.0,1.0,10.0,0.36,9.0,0.56,14.0,0.831998246676,23,0.1,Pleasantness/Flowers,0.200596162522,0.148043
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,0.816660952362,23,0.1,Gender/Career,0.523455241881,0.003464
1.0,10.0,1.0,10.0,1.0,10.0,0.8,8.0,0.443562831891,23,0.1,Unpleasentness/Asian,0.499315987936,0.000533
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.63315268736,23,0.1,Unpleasantness/Turkish,0.622296941793,0.000421
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.55066304873,23,0.1,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.846153846154,11.0,0.769230769231,10.0,-0.57435163368,23,0.1,Gender/Competence,-0.137710407376,0.780788
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-0.584437779772,23,0.1,Gender/Sciences,0.024839527905,0.109229
1.0,10.0,1.0,10.0,0.4,10.0,0.6,15.0,0.828196111475,24,0.1,Pleasantness/Flowers,0.163377776447,0.185694
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,0.855250622623,24,0.1,Gender/Career,0.523455241881,0.003536
1.0,10.0,1.0,10.0,1.0,10.0,0.8,8.0,1.20637632238,24,0.1,Unpleasentness/Asian,0.499315987936,0.000512
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.827848319,24,0.1,Unpleasantness/Turkish,0.622296941793,0.000438
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.60296866362,24,0.1,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.923076923077,12.0,0.769230769231,10.0,-0.584316423592,24,0.1,Gender/Competence,-0.0984498078624,0.721151
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.158530534,24,0.1,Gender/Sciences,0.024839527905,0.109332
1.0,10.0,1.0,10.0,0.4,10.0,0.56,14.0,0.752989352197,25,0.1,Pleasantness/Flowers,0.226976848984,0.129959
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.32092096639,25,0.1,Gender/Career,0.523455241881,0.003521
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,0.867047920179,25,0.1,Unpleasentness/Asian,0.579188647716,0.000269
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.42855552695,25,0.1,Unpleasantness/Turkish,0.622296941793,0.000444
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.61051193416,25,0.1,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.846153846154,11.0,0.769230769231,10.0,0.021476753922,25,0.1,Gender/Competence,-0.0788696830471,0.656746
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-0.508440853407,25,0.1,Gender/Sciences,0.024839527905,0.109746
1.0,10.0,1.0,10.0,0.36,9.0,0.52,13.0,0.814432590789,26,0.1,Pleasantness/Flowers,0.224756125951,0.133008
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.20656545898,26,0.1,Gender/Career,0.523455241881,0.003582
1.0,10.0,1.0,10.0,1.0,10.0,0.8,8.0,1.20688714968,26,0.1,Unpleasentness/Asian,0.499315987936,0.000476
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.8426061509,26,0.1,Unpleasantness/Turkish,0.622296941793,0.000435
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.64215789179,26,0.1,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.846153846154,11.0,0.769230769231,10.0,-0.0909307398081,26,0.1,Gender/Competence,-0.0788696830471,0.6564
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-1.43007090869,26,0.1,Gender/Sciences,0.024839527905,0.109888
1.0,10.0,1.0,10.0,0.32,8.0,0.56,14.0,1.0173516993,27,0.1,Pleasantness/Flowers,0.218170333126,0.140824
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.32122796398,27,0.1,Gender/Career,0.523455241881,0.003492
1.0,10.0,1.0,10.0,1.0,10.0,0.8,8.0,1.24233021914,27,0.1,Unpleasentness/Asian,0.499315987936,0.000498
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.71176222698,27,0.1,Unpleasantness/Turkish,0.622296941793,0.000453
1.0,10.0,1.0,10.0,1.0,6.0,1.0,6.0,1.33982289324,27,0.1,Unpleasantness/Islam,0.443616107065,0.0
1.0,5.0,0.6,3.0,0.846153846154,11.0,0.769230769231,10.0,-0.740517241789,27,0.1,Gender/Competence,-0.0788696830471,0.656642
1.0,8.0,1.0,8.0,0.833333333333,5.0,0.714285714286,5.0,-0.177142137676,27,0.1,Gender/Sciences,0.024839527905,0.109291
1.0,10.0,1.0,10.0,0.32,8.0,0.56,14.0,0.84922019686,28,0.1,Pleasantness/Flowers,0.191072144577,0.165843
1.0,5.0,1.0,5.0,1.0,7.0,1.0,7.0,1.2472822813,28,0.1,Gender/Career,0.523455241881,0.00352
1.0,10.0,1.0,10.0,1.0,10.0,0.8,8.0,0.701282980964,28,0.1,Unpleasentness/Asian,0.499315987936,0.000482
1.0,10.0,1.0,10.0,1.0,10.0,0.9,9.0,1.57690233826,28,0.1,Unpleasantness/Turkish,0.622296941793,0.00043
